genre,danceability,energy,acousticness,instrumentalness,valence,speechiness,loudness,tempo
HipHop,0.8340000000000001,0.45399999999999996,0.321,6.15e-06,0.8370000000000001,0.201,-9.75,81.618
HipHop,0.9229999999999999,0.604,0.017,0.0,0.826,0.245,-6.671,145.062
HipHop,0.6759999999999999,0.609,0.0706,0.0,0.508,0.48100000000000004,-5.831,142.037
HipHop,0.746,0.69,0.247,0.0,0.49700000000000005,0.16399999999999998,-7.956,89.977
HipHop,0.867,0.7440000000000001,0.268,0.0,0.645,0.228,-5.171,84.005
HipHop,0.8079999999999999,0.745,0.145,0.0,0.8290000000000001,0.342,-5.26,165.995
HipHop,0.769,0.787,0.18899999999999997,0.0,0.836,0.36700000000000005,-3.909,126.77
HipHop,0.883,0.8079999999999999,0.0317,0.0,0.805,0.183,-3.158,119.012
HipHop,0.8759999999999999,0.49200000000000005,0.0136,0.000283,0.4,0.153,-8.11,151.04399999999998
HipHop,0.836,0.617,0.17,0.0,0.866,0.0534,-4.363,138.066
HipHop,0.809,0.545,0.392,0.0,0.244,0.0735,-6.678,97.008
HipHop,0.816,0.5820000000000001,0.0794,5.84e-06,0.542,0.341,-4.141,160.004
HipHop,0.8759999999999999,0.662,0.0608,0.0,0.8440000000000001,0.426,-6.482,75.445
HipHop,0.768,0.652,0.113,0.0,0.777,0.307,-2.708,154.187
HipHop,0.8370000000000001,0.364,0.149,0.0,0.46299999999999997,0.276,-11.713,123.984
HipHop,0.893,0.618,0.0827,0.0,0.389,0.11199999999999999,-4.425,119.09899999999999
HipHop,0.872,0.391,0.469,4.13e-06,0.43700000000000006,0.242,-9.144,134.02100000000002
HipHop,0.5539999999999999,0.498,0.23,5.98e-06,0.413,0.0685,-8.866,79.635
HipHop,0.836,0.624,0.187,0.0,0.7,0.184,-6.75,103.0
HipHop,0.831,0.502,0.10099999999999999,0.0,0.10099999999999999,0.046,-4.045,100.541
HipHop,0.45299999999999996,0.5379999999999999,0.449,0.0,0.516,0.0638,-8.212,122.973
HipHop,0.787,0.713,0.0849,0.0,0.762,0.401,-5.252000000000001,175.041
HipHop,0.74,0.613,0.258,0.00372,0.473,0.145,-4.88,75.023
HipHop,0.915,0.612,0.0944,0.0,0.758,0.40700000000000003,-4.535,129.93
HipHop,0.81,0.5660000000000001,0.107,0.0,0.5820000000000001,0.433,-8.33,142.069
HipHop,0.83,0.564,0.177,0.0,0.107,0.235,-7.822,85.042
HipHop,0.797,0.5329999999999999,0.0172,0.000152,0.32899999999999996,0.0412,-9.74,131.036
HipHop,0.7879999999999999,0.436,0.0611,0.0,0.341,0.364,-9.435,129.847
HipHop,0.696,0.521,0.302,0.0,0.45799999999999996,0.332,-8.465,100.0
HipHop,0.889,0.496,0.259,0.0,0.544,0.0905,-6.365,86.00299999999999
HipHop,0.732,0.46299999999999997,0.374,0.0,0.397,0.0287,-6.972,95.971
HipHop,0.8959999999999999,0.72,0.16899999999999998,0.0,0.966,0.355,-6.2620000000000005,140.1
HipHop,0.605,0.365,0.63,6.83e-06,0.22399999999999998,0.111,-11.144,84.62799999999999
HipHop,0.743,0.34700000000000003,0.16699999999999998,0.00951,0.5720000000000001,0.121,-11.174000000000001,160.143
HipHop,0.9209999999999999,0.537,0.556,0.00404,0.711,0.0804,-5.723,128.009
HipHop,0.897,0.662,0.0852,0.0,0.389,0.292,-6.903,112.51100000000001
HipHop,0.88,0.428,0.149,5.07e-05,0.33299999999999996,0.20600000000000002,-8.28,100.007
HipHop,0.935,0.552,0.111,0.0,0.615,0.335,-9.373,99.993
